id,etapa,tipo,nome,componente
ef-comp-ge-oc-corporacoes-e-organismos-internacionais,EF,oc,Corporações e organismos internacionais,ef-comp-ge
ef-comp-ge-oc-corporacoes-e-organismos-internacionais-e-do-brasil-na-ordem-economica-mundial,EF,oc,Corporações e organismos internacionais e do Brasil na ordem econômica mundial,ef-comp-ge
ef-comp-ge-oc-desigualdade-social-e-o-trabalho,EF,oc,Desigualdade social e o trabalho,ef-comp-ge
ef-comp-ge-oc-diferencas-etnico-raciais-e-etnico-culturais-e-desigualdades-sociais,EF,oc,Diferenças étnico-raciais e étnico-culturais e desigualdades sociais,ef-comp-ge
ef-comp-ge-oc-diferentes-tipos-de-poluicao,EF,oc,Diferentes tipos de poluição,ef-comp-ge
ef-comp-ge-oc-diferentes-tipos-de-trabalho-existentes-no-seu-dia-a-dia,EF,oc,Diferentes tipos de trabalho existentes no seu dia a dia,ef-comp-ge
ef-comp-ge-oc-dinamica-populacional,EF,oc,Dinâmica populacional,ef-comp-ge
ef-comp-ge-oc-distribuicao-da-populacao-mundial-e-deslocamentos-populacionais,EF,oc,Distribuição da população mundial e deslocamentos populacionais,ef-comp-ge
ef-comp-ge-oc-diversidade-ambiental-e-as-transformacoes-nas-paisagens-na-america-latina,EF,oc,Diversidade ambiental e as transformações nas paisagens na América Latina,ef-comp-ge
ef-comp-ge-oc-diversidade-ambiental-e-as-transformacoes-nas-paisagens-na-europa-na-asia-e-na-oceania,EF,oc,"Diversidade ambiental e as transformações nas paisagens na Europa, na Ásia e na Oceania",ef-comp-ge
ef-comp-ge-oc-diversidade-e-dinamica-da-populacao-mundial-e-local,EF,oc,Diversidade e dinâmica da população mundial e local,ef-comp-ge
ef-comp-ge-oc-elementos-constitutivos-dos-mapas,EF,oc,Elementos constitutivos dos mapas,ef-comp-ge
ef-comp-ge-oc-experiencias-da-comunidade-no-tempo-e-no-espaco,EF,oc,Experiências da comunidade no tempo e no espaço,ef-comp-ge
ef-comp-ge-oc-fenomenos-naturais-e-sociais-representados-de-diferentes-maneiras,EF,oc,Fenômenos naturais e sociais representados de diferentes maneiras,ef-comp-ge
ef-comp-ge-oc-formacao-territorial-do-brasil,EF,oc,Formação territorial do Brasil,ef-comp-ge
ef-comp-ge-oc-gestao-publica-da-qualidade-de-vida,EF,oc,Gestão pública da qualidade de vida,ef-comp-ge
ef-comp-ge-oc-ideias-e-concepcoes-sobre-a-formacao-territorial-do-brasil,EF,oc,Ideias e concepções sobre a formação territorial do Brasil,ef-comp-ge
ef-comp-ge-oc-identidade-sociocultural,EF,oc,Identidade sociocultural,ef-comp-ge
ef-comp-ge-oc-identidades-e-interculturalidades-regionais-estados-unidos-da-america-america-espanhola-e-portuguesa-e-africa,EF,oc,"Identidades e interculturalidades regionais: Estados Unidos da América, América espanhola e portuguesa e África",ef-comp-ge
ef-comp-ge-oc-impactos-das-atividades-humanas,EF,oc,Impactos das atividades humanas,ef-comp-ge
ef-comp-ge-oc-instancias-do-poder-publico-e-canais-de-participacao-social,EF,oc,Instâncias do poder público e canais de participação social,ef-comp-ge
ef-comp-ge-oc-integracao-mundial-e-suas-interpretacoes-globalizacao-e-mundializacao,EF,oc,Integração mundial e suas interpretações: globalização e mundialização,ef-comp-ge
ef-comp-ge-oc-intercambios-historicos-e-culturais-entre-europa-asia-e-oceania,EF,oc,"Intercâmbios históricos e culturais entre Europa, Ásia e Oceania",ef-comp-ge
ef-comp-ge-oc-leitura-e-elaboracao-de-mapas-tematicos-croquis-e-outras-formas-de-representacao-para-analisar-informacoes-geograficas,EF,oc,"Leitura e elaboração de mapas temáticos, croquis e outras formas de representação para analisar informações geográficas",ef-comp-ge
ef-comp-ge-oc-localizacao-orientacao-e-representacao-espacial,EF,oc,"Localização, orientação e representação espacial",ef-comp-ge
ef-comp-ge-oc-mapas-e-imagens-de-satelite,EF,oc,Mapas e imagens de satélite,ef-comp-ge
ef-comp-ge-oc-mapas-tematicos-do-brasil,EF,oc,Mapas temáticos do Brasil,ef-comp-ge
ef-comp-ge-oc-materia-prima-e-industria,EF,oc,Matéria-prima e indústria,ef-comp-ge
ef-comp-ge-oc-mudancas-e-permanencias,EF,oc,Mudanças e permanências,ef-comp-ge
ef-comp-ge-oc-o-modo-de-vida-das-criancas-em-diferentes-lugares,EF,oc,O modo de vida das crianças em diferentes lugares,ef-comp-ge
ef-comp-ge-oc-os-diferentes-contextos-e-os-meios-tecnico-e-tecnologico-na-producao,EF,oc,Os diferentes contextos e os meios técnico e tecnológico na produção,ef-comp-ge
ef-comp-ge-oc-os-usos-dos-recursos-naturais-solo-e-agua-no-campo-e-na-cidade,EF,oc,Os usos dos recursos naturais: solo e água no campo e na cidade,ef-comp-ge
ef-comp-ge-oc-paisagens-naturais-e-antropicas-em-transformacao,EF,oc,Paisagens naturais e antrópicas em transformação,ef-comp-ge
ef-comp-ge-oc-pontos-de-referencia,EF,oc,Pontos de referência,ef-comp-ge
ef-comp-ge-oc-processos-migratorios-no-brasil,EF,oc,Processos migratórios no Brasil,ef-comp-ge
ef-comp-ge-oc-producao-circulacao-e-consumo,EF,oc,"Produção, circulação e consumo",ef-comp-ge
ef-comp-ge-oc-producao-circulacao-e-consumo-de-mercadorias,EF,oc,"Produção, circulação e consumo de mercadorias",ef-comp-ge
ef-comp-ge-oc-qualidade-ambiental,EF,oc,Qualidade ambiental,ef-comp-ge
